Project title,Term,Year,Project report link,WPI only?,Sponsor(s),Authors,Co-advisor(s),Topic(s),Categories,Website ,
Embedded Heritage: A Study of Venetian Church Floors,E,2005,http://www.wpi.edu/Pubs/E-project/Scanned/05A011I.pdf,Y,Soprintendenza all'Archeologia; Luigi Fozzati; Curia Partriarcale,David Thomas Gagnon; Eric Ruscitti; Kelly L. Thompson,John F. Zeugner,Church floors; Artifacts; Damage,,,3
Facilitating the Exchange and Reusability of Information in the City of Venice,E,2005,http://www.wpi.edu/Pubs/E-project/Scanned/05A003I.pdf,Y,Città di Venezia; Assessorato all'Urbanistica ed Edilizia Privata,Patrick J. Allen; Christopher Jon Fontana; Nathan J. Hebert,John F. Zeugner,City Knowledge; Urban planning,,,3
Mapping Underwater Turbulence in Venice (MQP),E,2005,http://www.wpi.edu/Pubs/E-project/Available/E-project-042706-141550/unrestricted/Final_Turbulence_Report.pdf,,Marco Bortoletto,Nicholas D. Angelini; José Brache; Matthew J. Gdula; Craig Edmund Shevlin,Fred J. Looft; Paola Fialho Chicarelli; H.J. Manzari,Canals; Moto ondoso; Wakes,,,4
Place Knowledge: Organizing Data on the Venetian Lagoon Park,E,2005,https://drive.google.com/file/d/0B0ELG5jkw_b4cDFLbkpSZjFFenM/edit?usp=sharing,http://www.wpi.edu/Pubs/E-project/Scanned/05A006I.pdf,Assessorato all'Ambiente; Istituzione Parco della Laguna; Osservatorio Naturalistico della Laguna,Laurel A. Doherty; Katherine Elizabeth Mucci; Mark G. Vignali,John F. Zeugner,Place knowledge; Citizen monitoring,,,3
"Preserving the Nautical Traditions and Maritime Heritage of Venice, Italy",E,2005,http://www.wpi.edu/Pubs/E-project/Available/E-project-110905-122120/unrestricted/E05BoatsFinal.pdf,,Arzanà; Soprintendenza all'Archeologia,"Brian J. Catalano, II; Kristen J. Gervais; Ryan D. Sinapius",John F. Zeugner,Traditional boats; Nautical artifacts,,,3
Residential Comfort Level: An Analysis of the Venetian Retail Sector,E,2005,http://www.wpi.edu/Pubs/E-project/Scanned/05A004I.pdf,Y,Fondazione ENI Enrico Mattei,Ta Karra Greene; Benjamin E. Isabella; Freddy X. Jervis; Danielle C. Modeste,John F. Zeugner,Retail stores,,,4
Ultrasound Boat-Monitoring System (MQP),E,2005,http://www.wpi.edu/Pubs/E-project/Scanned/05D419M,Y,,Jesse Alexander Chisholm; Adam J. Hart; Sander R. Van Twisk,Peder C. Pedersen,Boats; Transportation,,,3
Decline of Venetian Food Stores as a Gauge for Social Change in the City,B,2006,http://www.wpi.edu/Pubs/E-project/Available/E-project-010507-140349/unrestricted/retail_final_report_b06.pdf,,Settemari Rowing Club,Lesley A. Bright; Sara I. Duran; Stephen L. Parsons; Luis M. Rodriguez-Martin,J. Scott Jiusto,Food stores; Social change,,,4
Mapping Turbulent Discharges in Venetian Canals (MQP),B,2006,http://www.wpi.edu/Pubs/E-project/Available/E-project-060107-135856/unrestricted/final_report.pdf,,,Francis J. Carino; Steven C. Marshall,Fred J. Looft; Paola Fialho Chicarelli,Canals; Moto ondoso; Wakes,,,2
Murano Energy Reduction: An Investigation of Technologies to Reduce Fuel Consumption in Artistic Glass Furnaces,B,2006,http://www.wpi.edu/Pubs/E-project/Available/E-project-010707-193015/unrestricted/Report_Murano-B06.pdf,,Stazione Sperimentale del Vetro,Keith G. Ferry; Nicholas C. McMahon; Andrea L. Portnoy; Jacob H. Troiano,J. Scott Jiusto,Energy reduction; Glass furnaces; Murano,,,4
Optimizing the Use of Canal Parking Space in Venice,B,2006,http://www.wpi.edu/Pubs/E-project/Available/E-project-121406-171933/unrestricted/Report_B06_CanalSpace.pdf,,Ufficio Mobilità Acquea,Gregory J. Bukowski; Briana Elizabeth Dougherty; Russell W. Morin; Patrick Renaud,J. Scott Jiusto,Canal parking space; Traffic congestion; Wakes,,,4
Re-engineering the Venetian Taxi Transportation System: Efficiency Improvements That Reduce Moto Ondoso,B,2006,http://www.wpi.edu/Pubs/E-project/Available/E-project-122006-073304/unrestricted/TAXI_IQP.pdf,,Consorzio Motoscafi Venezia,Robert F. Accosta; Theodore Beckos McDonald; Corina C. Scanio; Jessica L. Thibideau,J. Scott Jiusto,Taxi transportation system; Moto ondoso; Wakes,,,4
Reviving the History of the Venetian Scuole: Public Education through an Interactive Website,B,2006,http://www.wpi.edu/Pubs/E-project/Available/E-project-121906-154141/unrestricted/Scuole_B06_Reviving_the_History_of_the_Venetian_Scuole.pdf,,,Chelsea Lynn Bierkan; Jennifer M. Gosselin; Justin Pelkowski; Katharine H. Woodman,J. Scott Jiusto,Venetian scuole; Websites,,,4
Toward a Dynamic Atlas: A Case Study on the Birds of the Venetian Lagoon,B,2006,http://www.wpi.edu/Pubs/E-project/Available/E-project-010507-125049/unrestricted/finalreport_8x11_birds_b06.pdf,,Osservatorio Naturalistico della Laguna; Museo di Storia Naturale,Leia Marie Houle; Matthew B. Nichols; Thomas C. Peterson; Joshua T. Stewart,J. Scott Jiusto,Dynamic atlas; Birds,,,4
Auto-Accretion Powered By Microbial Fuel Cells in the Venetian Lagoon (MQP),B,2007,http://www.wpi.edu/Pubs/E-project/Available/E-project-031008-121837/unrestricted/Accretion_MQP_Final_Report.pdf,,,Jessica Lynn Balesano; Jodi Michelle Lowell,David DiBiasio,Canals,,,2
Museo Arzanà: Preserving the Traditional Boats of Venice,B,2007,http://www.wpi.edu/Pubs/E-project/Available/E-project-122807-150018/unrestricted/Museo_Arzana_Preserving_The_Traditional_Boats_of_Venice.pdf,,Arzanà,Bryan M. Bigda; Michelle L. Dubuke; Daniel S. LaTorella; Jennifer Marie Richards,Kristen Billiar,Traditional boats,,,4
PreserVenice: Preserving Venetian Public Art,B,2007,http://www.wpi.edu/Pubs/E-project/Available/E-project-122207-150125/unrestricted/B07_PreserVenice_Venetian_Public_Art.pdf,,,Amanda Lee Kent; Rebecca Lynne Kieselbach; Kyle Hathaway Miller; Ryan David Sottolano; Steven Richard Vessella,Kristen Billiar,Public art,,,5
Pressing Issues: A Venetian Socioeconomic Overview,B,2007,http://www.wpi.edu/Pubs/E-project/Available/E-project-121707-092648/unrestricted/Final_Report_reviewed.pdf,,,Jonathan Bahlatzis; Sophia Mary D'Angelo; Hamlet V. Nina; Ilan Shomorony,Kristen Billiar,Stores; Economy,,,4
Turning Traffic Around: An Analysis of Boat Traffic in Venice and Its Environmental Impacts,B,2007,http://www.wpi.edu/Pubs/E-project/Available/E-project-122107-161101/unrestricted/Venetian_Boat_Traffic_and_Its_Environmental_Impacts.pdf,,,Marc Joseph Balboa; Michelle Carbonneau; Kyle Feeley; Lester Li,Kristen Billiar,Traffic; Transportation; Boats,,,4
Urban Maintenance and Venetian Accessibility,B,2007,http://www.wpi.edu/Pubs/E-project/Available/E-project-010208-115210/unrestricted/Urban_Maintenance_and_Venetian_Accessibility.pdf,,,Kevin Matthew Black; Sara A. Migdal; Michael T. Morin; Dukens Quinton René; Nicholas D. Vitello,Kristen Billiar,Maintenance; Accessibility; Mobility,,,5
uSCRIPT: an AJAX-based Online Manuscript Transcription Service (MQP),B,2007,,,,Brian Cafferelli; Nathaniel W. Piper; Eric Bishop Sutman,Stanley M. Selkow,Transcription,,,3
Challenges and Opportunities of Young Venetians,B,2008,http://www.wpi.edu/Pubs/E-project/Available/E-project-121208-074820/unrestricted/Report_Young-B08.pdf,,,Meggan Rose Birmingham; Akhil Kejriwal; Julie J. Marquis; Pedriant Peña,Paul W. Davis,Youth; Demographics,,,4
Divertimi: A Tourist Guide to a Unique and Enriching Experience,B,2008,Student Work | Divertimi: A Tourist Guide to a Unique and Enriching Experience | ID: sn009z17m | Digital WPI,,Donato Concato; Bruno Nogara; Laura Sabbadin; Michele Tamma; Anna Moretti,Daniel Paul Cianfrocco; Cordero Greg Marrero; Lindsay Mullins; Danielle M. Volpe,Paul W. Davis,Mobile apps; Tourism,,,4
Floating Around Venice: Developing Mobility Management Tools and Methodologies in Venice,B,2008,http://www.wpi.edu/Pubs/E-project/Available/E-project-121208-061724/unrestricted/Report_Moving-B08.pdf,,Forma Urbis; Redfish Group; Gestione Traffico Acqueo,Christopher D. Catanese; Danice Yequay Chou; Bethany J. Lagrant; Rudy E. Pinkham,Paul W. Davis,Accessibility; Mobility; Transportation,,,4
"Life in the ""City of Water""",B,2008,http://www.wpi.edu/Pubs/E-project/Available/E-project-121208-112709/unrestricted/living_in_venice_project.pdf,,Città di Venezia,Jenny M. Lund; Joshua D. Luther; Tobin Patrick McGee; Stephanie M. Miskell,Paul W. Davis,Demographics,,,4
Preserving Venetian Heritage,B,2008,http://www.wpi.edu/Pubs/E-project/Available/E-project-121208-055239/unrestricted/Preserve_Final_Report.pdf,,,Meagan P. Foley; Alex Scott Larsen; Timothy Thomas Navien; Phoebe Elizabeth Riley,Paul W. Davis,Public art; Boats,,,4
Venice: An Aging City,B,2008,http://www.wpi.edu/Pubs/E-project/Available/E-project-121208-050009/unrestricted/VE08_Old_Final_Paper.pdf,,,Angelica M. DeMartino; Julie A. Kent; Daniel Richard Mallette,Paul W. Davis,Demographics,,,3
Venice: Genesis of the City and its People,B,2008,http://www.wpi.edu/Pubs/E-project/Available/E-project-121208-054220/unrestricted/Report_Origins-B08.pdf,,,Erik Daniel Carlson; Felix Nwaobasi; Shikhar Saxena; Viktoras Truchanovicius,Paul W. Davis,Demographics; History,,,4
Cruise Ships: Influencing the City of Venice,B,2009,Student Work | Cruise Ships: Influencing the City of Venice | ID: n009w261h | Digital WPI,,,Nicholas Brad Hunnewell; James H. Reese; Damian P. Skwierczynski; Ryan Thomas Vautrin,Daniel Gilbert Gibson,Cruise ships; Tourism,,,4
Postmodern Postmortem: Highlighting Venetian Issues Through Art,B,2009,http://www.wpi.edu/Pubs/E-project/Available/E-project-122309-233216/unrestricted/Catalog_B09_Post.pdf,,Santa Fe Project Center,William E. Early; Amanda Angela Rinaldi; Lisa Marissa Rossi; Daniel J. Savastano,Daniel Gilbert Gibson,Art,,http://ve-postmortem09.blogspot.it/,4
"Postmodern Postmortems: Art to Highlight Social Issues in Venice, Italy",D,2009,http://www.wpi.edu/Pubs/E-project/Available/E-project-060109-000657/unrestricted/Postmodern_Postmortems.pdf,,,Brendan J. Turcotte,Frederick W. Bianchi,Art,,,1
PreserVenice: Preserving Venetian Public Art,B,2009,http://www.wpi.edu/Pubs/E-project/Available/E-project-011210-092903/unrestricted/FinalReport_B09.pdf,,,Jaime Antonio Bezek; Amanda Lee Nichols; Colin F. Roddy; Rebecca A. Trojanowski,Daniel Gilbert Gibson,Public art,,,4
Showcasing Twenty Years of Venice Project Center Results using Interactive Online Infographics,B,2009,http://www.wpi.edu/Pubs/E-project/Available/E-project-121710-153620/unrestricted/VE09-40_FinalReport_10222010.pdf,,,John P. Brunelli; Edward Paul Orsi; Amanda Rose Sargent,Daniel Gilbert Gibson,Websites; Anniversary,,,3
Un'Economia Sommersa: Documenting the Evolution of the Venetian Formal Economy,B,2009,http://www.wpi.edu/Pubs/E-project/Available/E-project-122609-130418/unrestricted/Final_Report_Veninomics-B09.pdf,,,Chelsey E. Anderson; Rhiannon Chiacchiaro; Shanna L. Infantino; Yoshitaka C. Shiotsu,Daniel Gilbert Gibson,Stores; Economy,,http://veninomics.blogspot.it/,4
Unearthing the Roots of Venice: From Relics to DNA,B,2009,http://www.wpi.edu/Pubs/E-project/Available/E-project-010510-121008/unrestricted/Origins_Report_Final.pdf,,,Debora Afezolli; Benjamin M. Allen; Jaclyn E. Hepworth; Andrew James Kazanovicz,Daniel Gilbert Gibson,DNA; History; Demographics,,,4
Venetian Mobility on Land and Sea,B,2009,http://www.wpi.edu/Pubs/E-project/Available/E-project-011310-132323/unrestricted/Final_Paper_Mobility_B09.pdf,,,Christopher T. Aloisio; Jason B. Gabriel; Kara Bernadet Greenfield; Alexander G. Kelly,Daniel Gilbert Gibson,Mobility; Transportation,,,4
Venice Framework: A Municipal Data Object Management Framework (MQP),B,2009,http://www.wpi.edu/Pubs/E-project/Available/E-project-031709-101904/unrestricted/MQP_Clayton_Cheng_Blanchette_Fyles.pdf,,,Craig A. Blanchette; Timothy Edison Cheng; Eric Stewart Clayton; James Justin Fyles,Gary F. Pollice,Data,,,4
Capturing the Changing Face of the Venetian Retail Sector,B,2010,http://www.wpi.edu/Pubs/E-project/Available/E-project-122610-202225/unrestricted/FinalReport_B10.pdf,,,Andrew T. Carey; Bryan Douglas Lee; Rebecca M. Meissen; Aikanysh Syrgak-Kyzy,James Cocola,Stores,,https://sites.google.com/site/ve10shops/,4
Cruise Control: To Further the Understanding of the Comprehensive Impacts of Cruise Ships on the City of Venice,B,2010,https://docs.google.com/document/d/1Xf_B3hOrxhOW7FVvhdEKrZEFEvvHnxFKxhfQBX3LCns/edit?usp=sharing,,,Shane Patrick Bellingham; Cortney M. Davis; Christopher J. O'Brien; Erin Lee Saari,James Cocola,Cruise ships; Tourism,,https://sites.google.com/site/ve10ships/,4
"Exploring the History of Venice: Relics, Records, and Relations",B,2010,http://www.wpi.edu/Pubs/E-project/Available/E-project-122710-031051/unrestricted/Final_Report_B10_Origins.pdf,,,Corrie Elizabeth Avila; Elizabeth Marie DeZulueta; Sofia Mukhanov; Maarja-Liisa Sokk,James Cocola,History; Demographics,,https://sites.google.com/site/ve10orig/,4
Mobility in the Floating City: A Study of Pedestrian Transportation,B,2010,http://www.wpi.edu/Pubs/E-project/Available/E-project-121910-171252/unrestricted/Report_B10_Move.pdf,,Redfish Group,Marcus Calixte Amilcar; Amy Laura Liu Bourgeouis; Savonne James Setalsingh; Matthew John Tassinari,James Cocola,Pedestrians; Transportation; Mobility,,https://sites.google.com/site/ve10move/,4
PreserVenice: Preserving Venetian Material Culture,B,2010,http://www.wpi.edu/Pubs/E-project/Available/E-project-122610-103308/unrestricted/FinalReport_B10_PreserVenice.pdf,,,Alyssa A. Ascare; Holly Dice Fletcher; Amy Takara Mazzucotelli; Daniel B. Pierson,James Cocola,Public art,,https://sites.google.com/site/ve10pv/,4
