Project title,Term,Year,Project report link,WPI only?,Sponsor(s),Authors,Co-advisor(s),Topic(s),Categories,Website ,
Feasibility Study of the Venice Project Center,B,1988,https://docs.google.com/document/d/1VY9l-9-meglB66dZCybe2xg5bVbfiokp/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,Venice Project Center,Michael R. Cote; Anthony S. Cucci; David M. George; Richard J. Granfield; Michael J. Kroese; John P. Lankhof,Lance A. Schachterle,Bootstrap,,,6
Future of Science and Technology in Venice,E,1989,https://docs.google.com/document/d/1id5wwYRO_9lSXw4lA0Da3czBlgvvjbGd/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,Serenissima Development and Preservation through Technology Association (SERENdpt),Paolo Cattaneo; Cristiano Luis Succi Pierry; Evan W. Sullivan,Lance A. Schachterle,Technology,,,3
Re-utilization of the Island of Lazzaretto Nuovo,E,1989,https://docs.google.com/document/d/1QQOvdtHYGJaNrsKJTx0OV3r8BsLkGdflr-L-O8qEjSo/edit?usp=sharing,,EKOS Club,Frank L. Davidson; Mary Helen Adair MacLean,Lance A. Schachterle,Lagoon; Islands,,,2
Churches of Venice: A System for Restoration Analysis,E,1990,https://docs.google.com/document/d/1YP8CHCG0m4L3tDwny_C_c7csYwl43w8lObOMbXBs8ko/edit?usp=sharing,,Randolfi Architectural Studio,Luca Bortolami; Luis-Carlos Campo; Carl Frederic Madsen,John F. Zeugner,Art; Churches,,,3
Computer Applications in the Humanities,E,1990,https://docs.google.com/document/d/1kyHVa1bqs5l0AR_OBO9DJGtvYWGlGIqe/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,University of Venice,Surbi Chadha; Tzu-Ching J. Chang; Jaime DelPrado,John F. Zeugner,Technology,,,3
Feasibility Study for the Relocation of the University of Venice to Abandoned Lagoon Islands,D,1990,,,Serenissima Development and Preservation through Technology Association (SERENdpt),Spyro J. Kotsonis; Michael Maglio; Joseph M. Soscia,John F. Zeugner,University of Venice; Lagoon; Islands,,,3
"Hygenic, Dynamic, and Static Study of the Canals of Venice, Italy",C,1990,https://docs.google.com/document/d/18tASHevTgSsazxrS-ukupfU59Au-gjc6JepWIhrw2fo/edit?usp=sharing,,Istituto per lo Studio della Dinamica delle Grandi Masse (ISDGM),Michael Ciacciarelli; Brian M. O'Connor; Barry B. Sylvia; Steven P. Testa,John F. Zeugner,Canals; Hydrodynamics,,,4
Lagoon Archaeology (IQP Award),E,1990,https://docs.google.com/document/d/1Bd4wOd3KQ_HoQEestz3PR-P2241NMkdC7M-8PHeJmh0/edit?usp=sharing,,Soprintendenza per i Beni Ambientali e Architettonici; Equipe Veneziana di Ricerca; Archeoclub of Italy; Soprintendenza all'Archeologia; Idra,Nicola M. McGowan; Reinaldo F. Niella; Pierre Schrappe; Jennifer Smith Strother,John F. Zeugner,Archaeology,,,4
Organic Farming in the Venetian Lagoon,E,1990,https://docs.google.com/document/d/1I78envf50m92QwgwuoGa_WQPTppdnIiCWmQDHf1c0hk/edit?usp=sharing,,Saccagnana Coop,Marco Andreoni; Orhan M. Arsel; Samir Sood,John F. Zeugner,Lagoon; Farming,,,3
Quantifying the Problem of Acid Fog and Acid Rain in Venice,C,1990,https://docs.google.com/document/d/1qVHeU_WkPh4amgCdukDXLlo-u1-Cfewm82huSS-d8XI/edit?usp=sharing,,Laboratorio Scientifico della Soprintendenza ai Beni Artistici e Storici di Venezia,"Patrise G. Puleo Hahn; William R. LaPrade, Jr.; Ryan S. Marcotte",John F. Zeugner,Pollution,Pollution; Architecture,,3
SERENdpt Project,E,1990,https://docs.google.com/document/d/13ZB5XRizjR88TJuHSYnQ54AqmaKkLs1fREItat0Wkqg/edit?usp=sharing,,Serenissima Development and Preservation through Technology Association (SERENdpt),Susan E. Carlson; Alessandro Casagrande; Edward J. Connor; Sean P. Moore; Mark J. Sarmiento,John F. Zeugner,Organizations,,,5
Solar Photovoltaic Applications in Venice,E,1990,https://docs.google.com/document/d/13MRRXt2MAfqoyyGJAjX2dOZ7NdJvAs6c5iFq3OrYZNE/edit?usp=sharing,,,John C. Ahern; Vineet Jain; Brian R. Kraft,Edward Clarke,Solar power,,,3
Study of the Applicability of Pollution Control Technology on the Island of Murano,D,1990,https://docs.google.com/document/d/1Me3iAai1D39w8ICzhkR6lqgrDEsRhujmzcmURrqhIQ8/edit?usp=sharing,,Associazione Artigiani di Venezia,Jennifer Creamer Berglund; Rocco Paduano; Roberto Reyna; Jehan M. Tamboowalla,John F. Zeugner,Pollution; Murano,,,4
"Wetland Management for the Lagoon Park Proposal in Venice, Italy",E,1990,https://docs.google.com/document/d/1rp97Gg_IhAlM_TWEnnIaExLzfsa3qzux6YCnYzQ_hiQ/edit?usp=sharing,,World Wildlife Fund - Venice (WWF),Carmen L. Barillas; Jonathan P. Loveland; Donna M. Roche,John F. Zeugner,Lagoon; Ecosystem,,,3
Archeoclub Inventory,E,1991,,,Archeoclub of Venice,"Sergio Mondlak; William H. Rockford, III; Steven A. Tufts",Lee A. Becker,Public art,,,3
"Interrelations of Weather, Pollution, and Acid Precipitation in Venice and their Effects on Indoor and Outdoor Art",C,1991,https://docs.google.com/document/d/1--r_VFbUHNg3SgPxPbhqfOs78KLadTxSKqaW2VaCyzI/edit?usp=sharing,,Laboratorio Scientifico della Misericordia; Soprintendenza ai Beni Artistici e Storici di Venezia,Michael A. Achim; Nicholas F. DiCamillo; Cheri A. LaFrinea; Melissa L. Paddock,Lee A. Becker,Pollution; Art,,,4
Inventions for Venice,E,1991,,,,Christine A. Easton Dusio; Deborah L. Leslie; Brian J. Malone,Lee A. Becker,Technology,,,3
Lagoon Archaeology II,E,1991,,,Equipe Veneziana di Ricerca,Corien M. Bakermans; Marc K. Davidson; Juliet K. Vescio Spencer,Lee A. Becker,Lagoon; Archaeology,,,3
Museums of Venice (IQP Award),E,1991,https://docs.google.com/document/d/1j7GBYYXojUBQdDUWU8hNlICZvKoCMHkdcX77ZnLf6V8/edit?usp=sharing,,,Berk Eksioglu; Raquel Medina-Bethencourt; Mauricio Molina,Lee A. Becker,Museums,,,3
"Study of Tide Flows, Mud Buildup, Boat Traffic, and Structural Damage on the Cannaregio Canal Subsystem",D,1991,https://docs.google.com/document/d/19z0fpK_2EjHIad7EHeSplR-Ht3zofr7Y0knNjpQCJg8/edit?usp=sharing,,Istituzione Centro Previsioni e Segnalazioni Maree; Istituto per lo Studio della Dinamica delle Grandi Masse (ISDGM),Hernando Carvajal; Manrico Federico; Carlos Gonzalez; Timothy C. Johnson; Jeffrey R. Levesque,Gianpietro Zucchetta,Canals; Sediments; Damage; Wakes,,,5
Venetian Cartography,E,1991,,,,Ricardo J. Behar; Giulio Grandinetti; Donato A. Miranda,Lee A. Becker; John F. Zeugner,GIS,,,3
"Analysis of Structural Damage to the Canal Walls of the Sestiere of Castello, Venice",E,1992,https://docs.google.com/document/d/1lc1FZzFKYH1mkGLntQatoJ1Vb0O0hQr2Q3YeRVYjBCc/edit?usp=sharing,,,"Chad R. Binkerd; Ralph Anthony Maselli, II; Scott H. Stoddard",Lee A. Becker,Canal walls; Damage; Wakes,,,3
"Analysis of Structural Damage to the Canal Walls of Venice, Italy",D,1992,https://docs.google.com/document/d/13rBYi3fsxAHOz2xyNX74AWOSfo8n0j2e3bXa1UWTkHc/edit?usp=sharing,,UNESCO (UVO-ROSTE),Timothy H. Cupples; Garret Trombi; George F. Willwerth,Lee A. Becker,Canals; Damage; Wakes,,,3
Archeoclub Inventory II,E,1992,,,Archeoclub of Venice,Tracy J. Adamski; David M. Giudice; Edward J. Iorio; Lara K. Papesca,Lee A. Becker,Public art,,,4
Documentation and Analysis of Boat Traffic in the Venetian Canals,C,1992,https://docs.google.com/document/d/1w00n6GKblx6RzNGhIjnqoSzkUkavs08vZ_1NCwOZD-U/edit?usp=sharing,,UNESCO (UVO-ROSTE),Jennifer M. Corey Diorio; Sherri L. Curria; Paul F. Ormond,Lee A. Becker,Boat traffic; Canals; Damage; Wakes,,,3
Documentation and Analysis of Boat Traffic in the Venetian Canals,D,1992,https://docs.google.com/document/d/1XqpSxuhsGHoMtn6zgq6ynn-UYtTvy4iaSPXLG-E9esw/edit?usp=sharing,,UNESCO (UVO-ROSTE),Brian N. Card; Matthew F. Flannery; Michael A. R. Kaliski; James M. Sambrook,Lee A. Becker,Boats; Traffic; Canals; Wakes,,,4
Documentation and Analysis of Boat Traffic on the Canals within the Sestiere di Castello di Venezia,E,1992,https://docs.google.com/document/d/1wjLgvAi0EfC74oAtlesCf8yi3GxlFxsjg7ZVqTi4dD8/edit?usp=sharing,,,Mark S. Densmore; Anthony G. Doherty; Michael A. Gallagher,Lee A. Becker,Boats; Traffic,,,3
Geographical Information System for the Canals of Venice,D,1992,,,UNESCO (UVO-ROSTE),John A. Cutonilli; John A. Roy; John B. Thornton,Lee A. Becker,GIS,,,3
"Geographical Information System for Venice, Italy",C,1992,,,UNESCO (UVO-ROSTE),Brian A. Baker; Russell H. Beavis; Beth A. Newton Tubbs,Lee A. Becker,GIS,,,3
Infrared Reflectoscopy: Non-Destructive Analysis of Works of Art,E,1992,https://docs.google.com/document/d/1bxDqPGEct40M3EjumfrVTdtK9ZHeiUIFlVrUL4XLzYA/edit?usp=sharing,,Soprintendenza ai Beni Artistici e Storici di Venezia,John C. Belfonti; Kern S. Corrigan; Cory R. Jobe,Lee A. Becker,Art,,,3
Multimedia Applications in the Study of Canals,E,1992,https://docs.google.com/document/d/1hgI4l00dIWhZ7XYphV2JXb-WA5gzON9JO3LkxORibnk/edit?usp=sharing,,UNESCO (UVO-ROSTE),Gregory P. Bloom; Erwin A. Landivar; Roberto B. Villa,Lee A. Becker,Canals,,,3
"Structural Damage on the Canal Walls of Venice, Italy",C,1992,https://docs.google.com/document/d/13rBYi3fsxAHOz2xyNX74AWOSfo8n0j2e3bXa1UWTkHc/edit?usp=sharing,,UNESCO (UVO-ROSTE),Gregory A. Kirkos; Marc Nicolazzo; Glen V. Zoladz,Lee A. Becker,Canal walls; Damage; Wakes,,,3
Topological and Hydro-Dynamic Study of the Canals in the San Marco Area,D,1992,https://docs.google.com/document/d/1lqxBf6B-pJHnM7Bs6jwuKBT4XsixZupLsDQYg80oc4E/edit?usp=sharing,,UNESCO (UVO-ROSTE),Kristi Henricksen Perry; Danielle L. Luongo Fries; Hollybeth Normandin,Lee A. Becker,Canals; Hydrodynamics; Wakes,,,3
Churches of Venice II: A System for Artistic Restoration Analysis,E,1993,https://docs.google.com/document/d/1YP8CHCG0m4L3tDwny_C_c7csYwl43w8lObOMbXBs8ko/edit?usp=sharing,,Nicola Randolfi; Randolfi Architectural Studio,Brian C. Aldrich; Kevin Shea; David W. Youkstetter,Bland Addison,Churches,,,3
Comprehensive Review of the Worcester Polytechnic Institute Venice Canal Studies,D,1993,https://docs.google.com/document/d/1WNGkxAeRsCj_qUz9NR5yB7kwAb_DpBLfyX0LUsCEBIQ/edit?usp=sharing,,UNESCO (UVO-ROSTE),"Jocelyn A. Bessey Mitchell; Enrico R. Cafaro; Victoria Klun; James B. McElroy, Jr.; Jennifer Shaw Pedro",Bland Addison,Canals,,,5
Computer Applications in Lagoon Archeology,E,1993,,,Archeoclub of Venice,John C. Berry; Gerald D. Ducharme; Charles R. Merry; Brian R. Rapids,Bland Addison,Lagoon archeology,,,4
Creation of A Database Management Program for Cataloging Computer Images Used in the Non-Destructive Analysis of Works of Art,E,1993,,,Soprintendenza ai Beni Artistici e Storici di Venezia,Joel C. Belog; Lourenço W. K. Dantas; Paul E. Hammerstrom,Bland Addison,Art; Restoration,,,3
Data Synthesis of the Worcester Polytechnic Institute Venice Canals Project,E,1993,https://docs.google.com/document/d/1Rwj_wcpZnHTGMSOjzRKxk2yURDaREMbL3p63wnGXp-0/edit?usp=sharing,,UNESCO (UVO-ROSTE),"Kerry J. Cooke Keleshian; John F. Ebersole, Jr.; Heide Angela Marrino Stokes; Lisa Rosiello",Bland Addison,Canals,,,4
Forum Per La Laguna di Venezia,E,1993,https://docs.google.com/document/d/165avuvcbmSArLYzRUUao9UoIZgUY1QcSscJyA1gFHZE/edit?usp=sharing,,Forum per la Laguna di Venezia,Nicolle E. Burnham; Heather L. Emerson; Kevin M. Furbish,Bland Addison,Organizations,,,3
Outdoor Art Inventory of the San Marco Sestiere,E,1993,https://docs.google.com/document/d/1h8-ZFanf-_TWN4gaf35CAITkL_I0IGeCZsTkVAulsp0/edit?usp=sharing,,Archeoclub of Venice,"Maria C. Dilanco Garcia; John V. Handal; Edward M. Mason, II",Bland Addison,Public Art,,,3
UNESCO Venice Lagoon Ecosystem Project,E,1993,https://docs.google.com/document/d/1MPe47PIVeq6P-HmMMTD7G9uXEgiuPzzHeIr83CoYYN8/edit?usp=sharing,,UNESCO (UVO-ROSTE),Larry R. Breen; Salvatore Gencarelli; James Leo Kilgallon,Bland Addison,Lagoon; Ecosystem,,,3
Buildings and Information of the Canals of Venice,E,1994,,,UNESCO (UVO-ROSTE); Forum di Venezia; Commune di Venezia,Ann Cournoyer Kingsland; Anthony Marino; Domenico Paduano,Malcolm FitzPatrick,Buildings; Canals,,,3
Documentation and Analysis of Public and Overnight Boat Parking on the Canals Within the Insula di Santa Maria Zobenigo,E,1994,https://docs.google.com/document/d/192HueT6Zihol2ayKKE7PSQdWmGGdBuEiLVmWE6rfVkk/edit?usp=sharing,,UNESCO (UVO-ROSTE),Mark G. Calvanese; Pranas Lukauskis,Malcolm FitzPatrick,Boats; Traffic; Parking; Canals; Maintenance; Wakes,,,2
"Documentation and Analysis of the Docks, Cargo Deliveries, and Boat Traffic Within the Santa Maria Zobenigo Insula",E,1994,https://docs.google.com/document/d/1VbTtkoW5rK8ZBX1qK9uBygUIEkPTZBkkARLh3CJam24/edit?usp=sharing,,UNESCO (UVO-ROSTE),Diego Felices; Carlos Moreno; Alexander Munoz; Brian J. Smith,Malcolm FitzPatrick,Traffic; Docks; Deliveries,,,4
"Le Sponde dei Canali di Castello, Venezia",E,1994,https://docs.google.com/document/d/1dvYsGFyXjhq_EXIPsPmQhtP072w1j4T4ETySFKrO5pQ/edit?usp=sharing,,UNESCO (UVO-ROSTE),Amy Cahill; Gregory Masterson; Carlos A. Zapata,Malcolm FitzPatrick,Canals,,,3
Method for the Evaluation of Venetian Bells and Bell Towers,E,1994,https://docs.google.com/document/d/15Cn6OgCpVtDub29R9ck-miO3kVeVFSc4RoDx2D9ljUs/edit?usp=sharing,,,Enith C. Morillo; Saskia Rosas,Malcolm FitzPatrick,Bell towers,,,2
Outdoor Art Inventory of the Sestiere di Castello,E,1994,https://docs.google.com/document/d/1T8woafyPb-On4Ox3iHyeCwzQn5_00pD5o_XZLTHfZTQ/edit?usp=sharing,,UNESCO (UVO-ROSTE); Archeoclub of Venice,Elizabeth R. Fonseca; Brent R. Johnson; Samuel C. Russell Jr.,Malcolm FitzPatrick,Public art,,,3
Solar Powered Canal Markers in Venice,E,1994,https://docs.google.com/document/d/1GGBazmcmQOvFYv_LpAyhtTrgp5YPjRZH9zzIcqrGYEc/edit?usp=sharing,,Forum di Venezia; Eurosolar; UNESCO (UVO-ROSTE),Krogen Carreno; Gaetano J. Fichera; Robert Van Kirk,Malcolm FitzPatrick,Solar power; Canals,,,3
"Computerized Catalog of Outdoor Art in Dorsoduro, Venice (IQP Award)",E,1995,https://drive.google.com/drive/folders/1-5WJ1fyPEmAk1rKVAytXB3YfkZ2iOt58?usp=share_link,,Archeoclub of Venice; Earthwatch; Committee for the Conservation of Venetian Public Art,Jesus M. Beltran; Erin E. Brophy; Alex Cardenas,Douglas D. Woods,Public art,,,3
Computerized Catalog of the Wellheads of Venice in the Sestiere of Dorsoduro,E,1995,,,,Alexander Boriakoff; Ian Buckley; Kristen D. Magnifico Becker,Douglas D. Woods,Public art; Wellheads,,,3
Computerized Catalog of Venetian Bells and Bell Towers,E,1995,,,,Dianna M. Carlson; Rebecca A. Prince Byrne; Susan M. Roosa,Douglas D. Woods,Bell towers,,,3
Computerized Catalog of Venetian Decorative Keystones,E,1995,,,,Minn Ayetut; Frank Chi-Yuan Chou; Takehiro Kawano,Douglas D. Woods,Public art; Keystones,,,3
"Documentation and Analysis of the Traffic, Cargo Deliveries, and Docks Within the Insulae of Santa Maria Formosa and Frari",E,1995,,,Città di Venezia; UNESCO (UVO-ROSTE),Kevin M. Doherty; Joseph M. Maraia; Carlos Parodi; Flavia Souto Pastore,Douglas D. Woods,Canals; Docks,,,4
"Study of Water Quality in the S.M. Formosa Insula: Introducing a Citizen Monitoring Program in Venice, Italy",E,1995,,,Forum per la Laguna di Venezia,Jennifer M. Johnson; Theodore Kabissios; Jose J. Vargas,Douglas D. Woods,Water quality,,,3
Venice Project Center,E,1995,https://docs.google.com/document/d/0B9kJ1wT04N5yME5WbFd4M2U1UXM/edit?usp=sharing&ouid=104817278116150745233&resourcekey=0-sckamM6_csEM6w3ntlNKlw&rtpof=true&sd=true,,,Samantha Lynn Davis; Marco Alberto Fedeli; Zachary Thomas Oser,Douglas D. Woods,Organizations,,,3
Creation of A CD-ROM on the Northern Lagoon of Venice for the Information and Education of Tourists and Residents,E,1996,https://docs.google.com/document/d/1MqlsUExCxCWzv94BRxNoqwBZnxKt58Mh/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,Forum per la Laguna di Venezia,Reneé Kim Charpentier; Matthew Brent Greenfield; Jennifer Ann Lowell Kijak,James S. Demetry,Lagoon; Tourism,,,3
Documentation and Analysis of Canal Boat Parking Within Santa Maria Formosa Insula and Santa Maria dei Frari Insula,E,1996,https://drive.google.com/file/d/0B0ELG5jkw_b4aUxvY2tyWE1GR0E/edit?usp=sharing,,Consorzio per la Ricerca e la Formazione in Liquidazione (COSES); Città di Venezia,Victor R. Bravo; Jose Lopez; Zung Q. Nguyen,James S. Demetry,Canals; Parking,,,3
"Reutilization of the Cardazzo Complex in Cannaregio, Venice",E,1996,,,Instituto Veneto per il Lavoro (IVL),Noel J. Bolduc; Camilla M. Canepa; David G. Goncalves; Ricardo Perea,James S. Demetry,Organizations,,,4
"Sustainable Venice: A Local Implementation of Agenda 21 in Venice, Italy",E,1996,https://docs.google.com/document/d/1DkQh2EHePWe_BUmru_3RDjz1ROuiRsUY/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,Forum per la Laguna di Venezia,Richard F. Crispo; Jamie Richard Murdock; Alexandru Catalin Nemetz,James S. Demetry,Sustainabiltiy,,,3
"Computerized Catalog of Flagstaff Pedestals in Venice, Italy",E,1997,,,Assessorato all'Urbanistica,Kimberly M. James; Michael C. Malchiodi; Jonathan Michael Reynolds,John F. Zeugner,Public art,,,3
Development of a Computerized Decision Support System for the Scheduled Maintenance of the Inner Canals of Venice,E,1997,,,Commune di Venezia; UNESCO (UVO-ROSTE),Carlo M. Cioffi; Vicky L. Dulac O'Sullivan; José F. Marsano; Robert R. Reguero,John F. Zeugner,Canals; Maintenance,,,4
"Development of a Prototype for an Automated Ambulance Dispatch System in Venice, Italy",E,1997,,,Thetis,"Stefan James Caporale; Maximo J. Cergneux; William Freed, Jr.; Anna Lisa Matzal Tillinghast",John F. Zeugner,Bridges; Canals; Docks; Traffic,,,4
Optimization of Cargo Boat Deliveries through the Inner Canals of Venice,E,1997,https://docs.google.com/document/d/1wstGK3ZF4kQ_iUG7z2B0hyK6DFFYfy9H/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,UNESCO (UVO-ROSTE); University of Venice; Associazione Artigiani di Venezia,Karolyn B. Amlaw Laher; Carie Lin Kervin Kervin; Ignacio Mondine; Charu P. Vepari,John F. Zeugner,Canals; Cargo; Transportation; Deliveries,,,4
Preliminary Feasibility Study of the Implementation of a HIFLO Vacuum Sewerage System within the City of Venice,E,1997,,,Alan Hassett; Oak Hill Company Ltd.,Martin Felices; Lauren M. Goodfellow; Jay L. Johnston; Sonali Maheshwary,John F. Zeugner,Sewers; Canals,,,4
"Analysis of Sewer Holes and Canal Wall Damage in Venice, Italy",E,1998,https://docs.google.com/presentation/d/0B7ELN_M21x_kbW1XMVQwMVFJSms/edit?usp=sharing&ouid=104817278116150745233&resourcekey=0-v9JbYVxbKasLG-TrQKUkSg&rtpof=true&sd=true,,UNESCO (UVO-ROSTE); Insula SpA,Kristopher T. Babic; Michael M. Borek; Grant G. Leeds; Stylianos Sidiroglou,Fred J. Looft,Sewers; Canals; Damage; Pollution,,,4
"Inventory and Analysis of the Bridges and Pedestrian Traffic in the Dorsoduro, San Polo, and Santa Croce Sestieri of Venice",E,1998,,,Insula SpA,Rahul Bhan; Ashley L. Deliso Bregman; Stephanie A. Hubbard; Gregory D. MacLeod,Fred J. Looft,Bridges; Pedestrians,,,4
"Monitoring and Analysis of the Cargo Delivery System in the Sestieri of San Polo, Santa Croce, and Dorsoduro in Venice, Italy",E,1998,https://docs.google.com/document/d/0B4r87xN0ctkpd0g3cjdzSzczakk/edit?usp=sharing&ouid=104817278116150745233&resourcekey=0-AGIygxEiwdoEFHYzo0XrUA&rtpof=true&sd=true,,Insula SpA,Stefano Ceriana; Daniel R. Nashold; Joan K. Olender; Matthew R. Poisson,Fred J. Looft,Docks; Deliveries,,,4
"Multimedia Catalog and Visitor Information Management Plan for the Collections of the Palazzo Ducale in Venice, Italy",E,1998,,,Città di Venezia; Direzione Musei Civici; Manuele Medoro,"Kenneth C. Bonanno; Go Ishikawa; Glenn R. Thoren, Jr.; Lindsay E. Voss",Fred J. Looft,Palazzo Ducale; Museum,,,4
Planning and Implementation of Campaigns for the Quantification and Analysis of Venetian Lagoon Traffic,E,1998,,,Provincia di Venezia; Settore Trasporti,Addi R. Butler; John J. Casill; Samuel O. Castillo; Turgut Sarioglu,Fred J. Looft,Traffic; Lagoon,,,4
"Venice Project Center's Tenth Anniversary: The Documentation, Interpretation, and Presentation of its History",E,1998,,,,James M. Behmke; Tanya M. Corrado; Gabriel M. Flores,Fred J. Looft,Anniversary,,,3
Estimation of Excursionist Tourists in the City of Venice,E,1999,https://digital.wpi.edu/pdfviewer/5q47rp148,Y,Azienda di Promozione Turistica di Venezia,Eduardo Braghin; Carlos Roberto Calvo; Ark Gozubuyuk; Mark Bartholomew Hodos,Stephen J. Weininger,Tourism,,,4
Hydrodynamics of the Inner Canals of Venice,E,1999,Student Work | Hydrodynamics of the inner canals of Venice. | ID: pc289j48s | Digital WPI,,Insula SpA; UNESCO (UVO-ROSTE),Christine Liliana Biscotti; Andrea May Emery; Maxwell Pistilli; Joseph Adam Zsofka,Stephen J. Weininger,Hydrodynamics; Canals; Sediments; Wakes,,,4
Information Management at the Palazzo Ducale,E,1999,,Y,Musei Civici di Venezia,Jennifer Lynne Cooper Forsythe; Michael Bernard Mahan; Alex Fernando Narváez; Nathaniel P. Wieselquist,Stephen J. Weininger,Palazzo Ducale; Museum,,,4
"Quantification of Sediment Sources in the City of Venice, Italy",E,1999,http://www.wpi.edu/Pubs/E-project/Scanned/99A007I.pdf,Y,UNESCO (UVO-ROSTE); Insula SpA,Alexander Peter Borrelli; Matthew John Crawford; James William Horstick II; Halil Iizzettin Ozbas,Stephen J. Weininger,Pollution; Canal damage; Sediments,,,4
Remote Boat Monitoring System (MQP),E,1999,http://www.wpi.edu/Pubs/E-project/Scanned/99A009M,Y,Città di Venezia,Adam Charles Blomberg; Rebecca A. Kupcinskas; Ana-Maria Elena Mandrila; Benjamin E. Newton; Thomas Michael Vacca,Fred J. Looft,Boats; Transportation,,,5
"Safeguarding the Churches of Venice, Italy: A Computerized Catalogue and Restoration Analysis",E,1999,https://drive.google.com/file/d/0B0ELG5jkw_b4VzdLWENKa3pTSkE/edit?usp=sharing,http://www.wpi.edu/Pubs/E-project/Scanned/99A006I.pdf,UNESCO (UVO-ROSTE),Brian Christopher Donnelly; Brynn Gemma Hart Hanson; Matthew Justin Pilotte; Thomas Christopher Scherpa,Stephen J. Weininger,Churches,,,4
Venetian Transcription Software (MQP),E,1999,http://www.wpi.edu/Pubs/E-project/Scanned/99E005M.pdf,Y,Venetian Archives,Nathan Patrick Finch,Stanley M. Selkow,Transcription,,,1
Venice Underground,E,1999,http://www.wpi.edu/Pubs/E-project/Scanned/99E022I.pdf,Y,Insula SpA,"Nicholas Andrew Allgaier; John Michael Bottino, II; Michael Scott Kimbrel; Garrett T. Sutton",Stephen J. Weininger,Underground,,,4
Assessment of the State of Tourism in Venice: A Quantitative Estimate and Characterization of Excursionist Tourists,E,2000,Student Work | An Assessment of the state of tourism in Venice -- a quantitative estimate and characterization of excursionist tourists. | ID: gt54kn28r | Digital WPI,,Azienda di Promozione Turistica di Venezia,Russell William Caruso; Marc P. Cryan; Amy Elizabeth Holton; Francesco Quirino Pancheri; Marianne Schady,Peter R. Christopher,Tourism,,,5
Cellular Bell Towers,E,2000,https://drive.google.com/file/d/0B0ELG5jkw_b4NE1PbXByeGJCODg/edit?usp=sharing,http://www.wpi.edu/Pubs/E-project/Scanned/00A008I.pdf,Settore Sicurezza del Territorio del Comune di Venezia; Ericsson TLC SpA,Leonard Matthew Baker; Marina Grace Carboni; Luis Ernesto Flores; Lisa Lanzillotti,Peter R. Christopher,Bell towers; Cellular phones,,,4
